,1,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,2,1,David Robinson,24,SAS,92.0,92.0,92,1.0,82,36.6,24.3,12.0,2.0,1.7,3.9,0.531,0.0,0.732,15.1,0.24100000000000002
1,2,1,Derrick Coleman,23,NJN,69.0,69.0,96,0.7190000000000001,74,35.2,18.4,10.3,2.2,1.0,1.3,0.467,0.342,0.731,5.8,0.10800000000000001
2,3,2,Lionel Simmons,22,SAC,22.0,22.0,96,0.22899999999999998,79,37.7,18.0,8.8,4.0,1.4,1.1,0.42200000000000004,0.273,0.736,2.7,0.044000000000000004
3,4,3,Dennis Scott,22,ORL,3.0,3.0,96,0.031,82,28.5,15.7,2.9,1.6,0.8,0.3,0.425,0.374,0.75,2.6,0.054000000000000006
4,5,4,Dee Brown,22,BOS,2.0,2.0,96,0.021,82,23.7,8.7,2.2,4.2,1.0,0.2,0.46399999999999997,0.20600000000000002,0.873,3.5,0.087
5,2,1,Larry Johnson,22,CHH,90.5,90.5,96,0.943,82,37.2,19.2,11.0,3.6,1.0,0.6,0.49,0.22699999999999998,0.8290000000000001,8.9,0.14
6,3,2,Dikembe Mutombo,25,DEN,3.5,3.5,96,0.036000000000000004,71,38.3,16.6,12.3,2.2,0.6,3.0,0.493,,0.642,4.8,0.086
7,4,3,Billy Owens,22,GSW,2.0,2.0,96,0.021,80,31.4,14.3,8.0,2.4,1.1,0.8,0.525,0.111,0.654,5.6,0.107
8,2,1,Shaquille O'Neal,20,ORL,96.0,96.0,98,0.98,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.5920000000000001,10.4,0.163
9,3,2,Alonzo Mourning,22,CHH,2.0,2.0,98,0.02,78,33.9,21.0,10.3,1.0,0.3,3.5,0.511,0.0,0.7809999999999999,8.2,0.14800000000000002
10,2,1,Chris Webber,20,GSW,53.0,53.0,101,0.525,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0.0,0.532,7.8,0.154
11,3,2,Anfernee Hardaway,22,ORL,47.0,47.0,101,0.465,82,36.8,16.0,5.4,6.6,2.3,0.6,0.466,0.267,0.742,7.1,0.11199999999999999
12,4,3,Jamal Mashburn,21,DAL,1.0,1.0,101,0.01,79,36.7,19.2,4.5,3.4,1.1,0.2,0.406,0.284,0.6990000000000001,0.9,0.013999999999999999
13,2,1T,Grant Hill,22,DET,43.0,43.0,105,0.41,70,38.3,19.9,6.4,5.0,1.8,0.9,0.47700000000000004,0.14800000000000002,0.732,5.4,0.09699999999999999
14,3,1T,Jason Kidd,21,DAL,43.0,43.0,105,0.41,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
15,4,3,Glenn Robinson,22,MIL,15.0,15.0,105,0.14300000000000002,80,37.0,21.9,6.4,2.5,1.4,0.3,0.451,0.321,0.7959999999999999,3.2,0.053
16,5,4,Eddie Jones,23,LAL,2.0,2.0,105,0.019,64,31.0,14.0,3.9,2.0,2.0,0.6,0.46,0.37,0.722,5.0,0.122
17,6,5T,Brian Grant,22,SAC,1.0,1.0,105,0.01,80,28.6,13.2,7.5,1.2,0.6,1.5,0.511,0.25,0.636,5.3,0.11199999999999999
18,7,5T,Juwan Howard,21,WSB,1.0,1.0,105,0.01,65,36.1,17.0,8.4,2.5,0.8,0.2,0.489,0.0,0.664,2.8,0.057
19,2,1,Damon Stoudamire,22,TOR,76.0,76.0,113,0.6729999999999999,70,40.9,19.0,4.0,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.07200000000000001
20,3,2,Arvydas Sabonis,31,POR,17.0,17.0,113,0.15,73,23.8,14.5,8.1,1.8,0.9,1.1,0.545,0.375,0.757,8.4,0.233
21,4,3,Joe Smith,20,GSW,15.0,15.0,113,0.133,82,34.4,15.3,8.7,1.0,1.0,1.6,0.45799999999999996,0.35700000000000004,0.773,6.8,0.11599999999999999
22,5,4T,Michael Finley,22,PHO,2.0,2.0,113,0.018000000000000002,82,39.2,15.0,4.6,3.5,1.0,0.4,0.47600000000000003,0.32799999999999996,0.7490000000000001,6.3,0.095
23,6,4T,Jerry Stackhouse,21,PHI,2.0,2.0,113,0.018000000000000002,72,37.5,19.2,3.7,3.9,1.1,1.1,0.414,0.318,0.747,1.2,0.021
24,7,6,Kevin Garnett,19,MIN,1.0,1.0,113,0.009000000000000001,80,28.7,10.4,6.3,1.8,1.1,1.6,0.491,0.28600000000000003,0.705,4.4,0.092
25,2,1,Allen Iverson,21,PHI,44.0,44.0,115,0.38299999999999995,76,40.1,23.5,4.1,7.5,2.1,0.3,0.41600000000000004,0.341,0.7020000000000001,4.1,0.065
26,3,2,Stephon Marbury,19,MIN,35.0,35.0,115,0.304,67,34.7,15.8,2.7,7.8,1.0,0.3,0.408,0.354,0.727,3.7,0.077
27,4,3,Shareef Abdur-Rahim,20,VAN,25.0,25.0,115,0.217,80,35.0,18.7,6.9,2.2,1.0,1.0,0.45299999999999996,0.259,0.746,2.9,0.049
28,5,4,Antoine Walker,20,BOS,6.0,6.0,115,0.052000000000000005,82,36.2,17.5,9.0,3.2,1.3,0.6,0.425,0.327,0.631,1.7,0.027000000000000003
29,6,5,Kerry Kittles,22,NJN,5.0,5.0,115,0.043,82,36.7,16.4,3.9,3.0,1.9,0.4,0.426,0.377,0.7709999999999999,6.9,0.11
30,2,1,Tim Duncan,21,SAS,113.0,113.0,116,0.9740000000000001,82,39.1,21.1,11.9,2.7,0.7,2.5,0.5489999999999999,0.0,0.662,12.8,0.192
31,3,2,Keith Van Horn,22,NJN,3.0,3.0,116,0.026000000000000002,62,37.5,19.7,6.6,1.7,1.0,0.4,0.426,0.308,0.846,4.8,0.098
32,2,1,Vince Carter,22,TOR,113.0,113.0,118,0.958,50,35.2,18.3,5.7,3.0,1.1,1.5,0.45,0.28800000000000003,0.7609999999999999,5.0,0.136
33,3,2,Jason Williams,23,SAC,3.0,3.0,118,0.025,50,36.1,12.8,3.1,6.0,1.9,0.0,0.374,0.31,0.752,2.1,0.055
34,4,3,Paul Pierce,21,BOS,2.0,2.0,118,0.017,48,34.0,16.5,6.4,2.4,1.7,1.0,0.439,0.41200000000000003,0.713,4.9,0.14400000000000002
35,2,1T,Elton Brand,20,CHI,58.0,58.0,121,0.479,81,37.0,20.1,10.0,1.9,0.8,1.6,0.48200000000000004,0.0,0.685,7.5,0.121
36,3,1T,Steve Francis,22,HOU,58.0,58.0,121,0.479,77,36.1,18.0,5.3,6.6,1.5,0.4,0.445,0.345,0.7859999999999999,6.4,0.111
37,4,3,Lamar Odom,20,LAC,3.0,3.0,121,0.025,76,36.4,16.6,7.8,4.2,1.2,1.3,0.43799999999999994,0.36,0.7190000000000001,3.2,0.055
38,5,4,Andre Miller,23,CLE,2.0,2.0,121,0.017,82,25.5,11.1,3.4,5.8,1.0,0.2,0.449,0.204,0.774,5.3,0.122
39,2,1,Mike Miller,20,ORL,75.0,75.0,124,0.605,82,29.1,11.9,4.0,1.7,0.6,0.2,0.436,0.40700000000000003,0.711,5.3,0.106
40,3,2,Kenyon Martin,23,NJN,36.0,36.0,124,0.29,68,33.4,12.0,7.4,1.9,1.1,1.7,0.445,0.091,0.63,2.1,0.044000000000000004
41,4,3,Marc Jackson,26,GSW,7.0,7.0,124,0.055999999999999994,48,29.4,13.2,7.5,1.2,0.7,0.6,0.467,0.217,0.802,2.6,0.08900000000000001
42,5,4T,Darius Miles,19,LAC,3.0,3.0,124,0.024,81,26.3,9.4,5.9,1.2,0.6,1.5,0.505,0.053,0.521,3.0,0.068
43,6,4T,Morris Peterson,23,TOR,3.0,3.0,124,0.024,80,22.6,9.3,3.2,1.3,0.8,0.3,0.431,0.382,0.7170000000000001,3.6,0.096
44,2,1,Pau Gasol,21,MEM,117.0,117.0,126,0.929,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.7090000000000001,7.6,0.121
45,3,2,Richard Jefferson,21,NJN,3.0,3.0,126,0.024,79,24.3,9.4,3.7,1.8,0.8,0.6,0.457,0.23199999999999998,0.713,4.7,0.11699999999999999
46,4,3T,Andrei Kirilenko,20,UTA,2.0,2.0,126,0.016,82,26.2,10.7,4.9,1.1,1.4,1.9,0.45,0.25,0.768,7.3,0.16399999999999998
47,5,3T,Jason Richardson,21,GSW,2.0,2.0,126,0.016,80,32.9,14.4,4.3,3.0,1.3,0.4,0.426,0.33299999999999996,0.6709999999999999,2.9,0.052000000000000005
48,6,3T,Jamaal Tinsley,23,IND,2.0,2.0,126,0.016,80,30.5,9.4,3.7,8.1,1.7,0.5,0.38,0.24,0.7040000000000001,1.7,0.033
49,2,1,Amar'e Stoudemire,20,PHO,59.0,458.0,585,0.7829999999999999,82,31.3,13.5,8.8,1.0,0.8,1.1,0.47200000000000003,0.2,0.6609999999999999,6.2,0.11599999999999999
50,3,2,Yao Ming,22,HOU,45.0,405.0,585,0.6920000000000001,82,29.0,13.5,8.2,1.7,0.4,1.8,0.498,0.5,0.8109999999999999,8.7,0.17600000000000002
51,4,3,Caron Butler,22,MIA,13.0,179.0,585,0.306,78,36.6,15.4,5.1,2.7,1.8,0.4,0.41600000000000004,0.318,0.8240000000000001,5.1,0.086
52,5,4,Manu Ginóbili,25,SAS,0.0,5.0,585,0.009000000000000001,69,20.7,7.6,2.3,2.0,1.4,0.2,0.43799999999999994,0.345,0.737,4.2,0.141
53,6,5,Drew Gooden,21,TOT,0.0,3.0,585,0.005,70,26.8,12.5,6.5,1.2,0.8,0.5,0.457,0.292,0.7120000000000001,1.7,0.043
54,7,6,Nenê Hilário,20,DEN,0.0,2.0,585,0.003,80,28.2,10.5,6.1,1.9,1.6,0.8,0.519,0.0,0.578,5.0,0.107
55,8,7,Carlos Boozer,21,CLE,0.0,1.0,585,0.002,81,25.3,10.0,7.5,1.3,0.7,0.6,0.536,0.0,0.7709999999999999,5.9,0.139
56,2,1,LeBron James,19,CLE,78.0,508.0,590,0.861,79,39.5,20.9,5.5,5.9,1.6,0.7,0.41700000000000004,0.29,0.754,5.1,0.078
57,3,2,Carmelo Anthony,19,DEN,40.0,430.0,590,0.7290000000000001,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098
58,4,3,Dwyane Wade,22,MIA,0.0,117.0,590,0.198,61,34.9,16.2,4.0,4.5,1.4,0.6,0.465,0.302,0.747,4.6,0.10300000000000001
59,5,4,Kirk Hinrich,23,CHI,0.0,4.0,590,0.006999999999999999,76,35.6,12.0,3.4,6.8,1.3,0.3,0.386,0.39,0.804,4.1,0.07200000000000001
60,6,5,Chris Bosh,19,TOR,0.0,2.0,590,0.003,75,33.5,11.5,7.4,1.0,0.8,1.4,0.45899999999999996,0.35700000000000004,0.701,6.2,0.11900000000000001
61,7,6,Marquis Daniels,23,DAL,0.0,1.0,590,0.002,56,18.6,8.5,2.6,2.1,0.9,0.2,0.494,0.306,0.769,3.2,0.146
62,2,1,Emeka Okafor,22,CHA,77.0,514.0,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0.0,0.609,4.0,0.07400000000000001
63,3,2,Ben Gordon,21,CHI,43.0,443.0,630,0.703,82,24.4,15.1,2.6,2.0,0.6,0.1,0.41100000000000003,0.405,0.863,3.5,0.084
64,4,3,Dwight Howard,19,ORL,6.0,161.0,630,0.256,82,32.6,12.0,10.0,0.9,0.9,1.7,0.52,0.0,0.6709999999999999,7.3,0.131
65,5,4,Andre Iguodala,21,PHI,0.0,14.0,630,0.022000000000000002,82,32.8,9.0,5.7,3.0,1.7,0.6,0.493,0.331,0.743,6.6,0.11800000000000001
66,6,5T,Luol Deng,19,CHI,0.0,1.0,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,0.434,0.265,0.741,3.0,0.086
67,7,5T,J.R. Smith,19,NOH,0.0,1.0,630,0.002,76,24.5,10.3,2.0,1.9,0.7,0.1,0.39399999999999996,0.28800000000000003,0.6890000000000001,0.2,0.006
68,2,1,Chris Paul,20,NOK,124.0,623.0,625,0.997,78,36.0,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.17800000000000002
69,3,2,Charlie Villanueva,21,TOR,0.0,248.0,625,0.397,81,29.1,13.0,6.4,1.1,0.7,0.8,0.46299999999999997,0.327,0.706,3.9,0.079
70,4,3,Andrew Bogut,21,MIL,0.0,98.0,625,0.157,82,28.6,9.4,7.0,2.3,0.6,0.8,0.5329999999999999,0.0,0.629,5.5,0.113
71,5,4,Raymond Felton,21,CHA,0.0,79.0,625,0.126,80,30.1,11.9,3.3,5.6,1.3,0.1,0.391,0.358,0.725,2.6,0.051
72,6,5,Channing Frye,22,NYK,0.0,41.0,625,0.066,65,24.2,12.3,5.8,0.8,0.5,0.7,0.47700000000000004,0.33299999999999996,0.825,3.5,0.10800000000000001
73,7,6,Deron Williams,21,UTA,1.0,31.0,625,0.05,80,28.8,10.8,2.4,4.5,0.8,0.2,0.42100000000000004,0.41600000000000004,0.7040000000000001,2.8,0.059000000000000004
74,8,7T,Danny Granger,22,IND,0.0,2.0,625,0.003,78,22.6,7.5,4.9,1.2,0.7,0.8,0.462,0.32299999999999995,0.777,5.1,0.139
75,9,7T,Luther Head,23,HOU,0.0,2.0,625,0.003,80,28.9,8.8,3.3,2.7,1.1,0.1,0.40299999999999997,0.361,0.6990000000000001,3.5,0.07200000000000001
76,10,9,Ryan Gomes,23,BOS,0.0,1.0,625,0.002,61,22.6,7.6,4.9,1.0,0.6,0.1,0.48700000000000004,0.33299999999999996,0.752,3.1,0.10800000000000001
77,2,1,Brandon Roy,22,POR,127.0,638.0,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,0.456,0.377,0.838,4.8,0.114
78,3,2,Andrea Bargnani,21,TOR,1.0,264.0,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,0.42700000000000005,0.373,0.8240000000000001,1.9,0.057
79,4,3,Rudy Gay,20,MEM,0.0,93.0,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,0.42200000000000004,0.364,0.727,0.5,0.011000000000000001
80,5,4,Adam Morrison,22,CHA,0.0,44.0,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,0.376,0.337,0.71,-1.5,-0.03
81,6,5,Randy Foye,23,MIN,0.0,37.0,640,0.057999999999999996,82,22.9,10.1,2.7,2.8,0.6,0.3,0.434,0.368,0.8540000000000001,2.3,0.057999999999999996
82,7,6,Paul Millsap,21,UTA,0.0,19.0,640,0.03,82,18.0,6.8,5.2,0.8,0.8,0.9,0.525,0.33299999999999996,0.6729999999999999,4.7,0.153
83,8,7,LaMarcus Aldridge,21,POR,0.0,18.0,640,0.027999999999999997,63,22.1,9.0,5.0,0.4,0.3,1.2,0.503,0.0,0.722,3.4,0.11800000000000001
84,9,8,Jorge Garbajosa,29,TOR,0.0,17.0,640,0.027000000000000003,67,28.5,8.5,4.9,1.9,1.2,0.2,0.42,0.342,0.731,3.0,0.07400000000000001
85,10,9,Tyrus Thomas,20,CHI,0.0,10.0,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,0.475,0.0,0.606,2.2,0.11
86,11,10,Walter Herrmann,27,CHA,0.0,5.0,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,0.527,0.461,0.774,2.4,0.125
87,12,11,Craig Smith,23,MIN,0.0,4.0,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,0.531,0.0,0.624,3.9,0.121
88,13,12,Rajon Rondo,20,BOS,0.0,3.0,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,0.418,0.207,0.647,2.4,0.064
89,2,1,Kevin Durant,19,SEA,90.0,545.0,625,0.872,80,34.6,20.3,4.4,2.4,1.0,0.9,0.43,0.28800000000000003,0.873,2.3,0.04
90,3,2,Al Horford,21,ATL,30.0,390.0,625,0.624,81,31.4,10.1,9.7,1.5,0.7,0.9,0.499,0.0,0.731,5.5,0.10300000000000001
91,4,3,Luis Scola,27,HOU,5.0,146.0,625,0.23399999999999999,82,24.7,10.3,6.4,1.3,0.7,0.2,0.515,0.0,0.6679999999999999,6.5,0.154
92,5,4,Al Thornton,24,LAC,0.0,30.0,625,0.048,79,27.3,12.7,4.5,1.2,0.6,0.5,0.429,0.331,0.743,1.1,0.025
93,6,5,Jamario Moon,27,TOR,0.0,7.0,625,0.011000000000000001,78,27.8,8.5,6.2,1.2,1.0,1.4,0.485,0.32799999999999996,0.741,5.7,0.126
94,7,6,Juan Carlos Navarro,27,MEM,0.0,3.0,625,0.005,82,25.8,10.9,2.6,2.2,0.6,0.0,0.402,0.361,0.8490000000000001,1.4,0.031
95,8,7,Thaddeus Young,19,PHI,0.0,2.0,625,0.003,74,21.0,8.2,4.2,0.8,1.0,0.1,0.539,0.316,0.738,4.5,0.14
96,9,8T,Mike Conley,20,MEM,0.0,1.0,625,0.002,53,26.1,9.4,2.6,4.2,0.8,0.0,0.428,0.33,0.732,1.1,0.038
